Date,Time (UTC),Active Power L1 (W),
6/6/2022,22:45:32:199,155.4166718,
6/6/2022,22:46:32:199,155.5833282,
6/6/2022,22:47:32:199,153.815918,
6/6/2022,22:48:32:199,152.4514923,
6/6/2022,22:49:32:199,151.1902924,
6/6/2022,22:50:32:199,149.7823334,
6/6/2022,22:51:32:199,148.461441,
6/6/2022,22:52:32:199,147.7388,
6/6/2022,22:53:32:199,147.1057281,
6/6/2022,22:54:32:199,147.8171692,
6/6/2022,22:55:32:199,146.4378052,
6/6/2022,22:56:32:199,146.0174103,
6/6/2022,22:57:32:199,144.6890564,
6/6/2022,22:58:32:199,143.3320923,
6/6/2022,22:59:32:199,140.3470154,
6/6/2022,23:00:32:199,138.2823334,
6/6/2022,23:01:32:199,136.9315948,
6/6/2022,23:02:32:199,136.6965179,
6/6/2022,23:03:32:199,135.564682,
6/6/2022,23:04:32:199,135.0534821,
6/6/2022,23:05:32:199,134.2960205,
6/6/2022,23:06:32:199,134.0995026,
6/6/2022,23:07:32:199,133.3594513,
6/6/2022,23:08:32:199,133.2450256,
6/6/2022,23:09:32:199,133.5074615,
6/6/2022,23:10:32:199,133.2363129,
6/6/2022,23:11:32:199,132.6243744,
6/6/2022,23:12:32:199,132.3457642,
6/6/2022,23:13:32:199,132.2462616,
6/6/2022,23:14:32:199,131.7636871,
6/6/2022,23:15:32:199,130.9141846,
6/6/2022,23:16:32:199,130.8470154,
6/6/2022,23:17:32:199,131.0112,
6/6/2022,23:18:32:199,130.2089539,
6/6/2022,23:19:32:199,130.3930359,
6/6/2022,23:20:32:199,129.8818359,
6/6/2022,23:21:32:199,129.6256256,
6/6/2022,23:22:32:199,129.7002563,
6/6/2022,23:23:32:199,129.2910461,
6/6/2022,23:24:32:199,129.0808411,
6/6/2022,23:25:32:199,129.211441,
6/6/2022,23:26:32:199,128.2922821,
6/6/2022,23:27:32:199,128.2039795,
6/6/2022,23:28:32:199,127.7375641,
6/6/2022,23:29:32:199,128.2450256,
6/6/2022,23:30:32:200,128.0945282,
6/6/2022,23:31:32:199,127.1256256,
6/6/2022,23:32:32:199,127.4440308,
6/6/2022,23:33:32:199,126.4888077,
6/6/2022,23:34:32:199,126,
6/6/2022,23:35:32:199,126.5771179,
6/6/2022,23:36:32:199,125.9191513,
6/6/2022,23:37:03:749,24.91169167,
6/6/2022,23:37:03:799,16.78731346,
6/6/2022,23:37:03:849,15.18532372,
6/6/2022,23:37:03:899,15.0074625,
6/6/2022,23:37:03:949,14.89801025,
6/6/2022,23:37:03:999,14.99626827,
6/6/2022,23:37:04:049,15.15795994,
6/6/2022,23:37:04:099,15.22139263,
6/6/2022,23:37:04:149,15.25497532,
6/6/2022,23:37:04:199,15.1256218,
6/6/2022,23:37:04:249,15.25373173,
6/6/2022,23:37:04:299,15.27114391,
6/6/2022,23:37:04:349,15.25124359,
6/6/2022,23:37:04:399,15.13184071,
6/6/2022,23:37:04:449,14.9303484,
6/6/2022,23:37:04:499,14.96268654,
6/6/2022,23:37:04:549,14.78855705,
6/6/2022,23:37:04:599,15.02736282,
6/6/2022,23:37:04:649,14.93283558,
6/6/2022,23:37:04:699,15.06467628,
6/6/2022,23:37:04:749,14.9378109,
6/6/2022,23:37:04:799,14.98756218,
6/6/2022,23:37:04:849,15.04353237,
6/6/2022,23:37:04:899,15.17039776,
6/6/2022,23:37:04:949,15.27487564,
6/6/2022,23:37:04:999,15.24626827,
6/6/2022,23:37:05:049,15.04477596,
6/6/2022,23:37:05:099,15.03482628,
6/6/2022,23:37:05:149,15.00497532,
6/6/2022,23:37:05:199,15.08955193,
6/6/2022,23:37:05:249,15.11567211,
6/6/2022,23:37:05:299,15.18159199,
6/6/2022,23:37:05:349,14.9925375,
6/6/2022,23:37:05:399,14.90174103,
6/6/2022,23:37:05:450,14.78233814,
6/6/2022,23:37:05:499,14.86318398,
6/6/2022,23:37:05:549,14.98383045,
6/6/2022,23:37:05:599,15.01741314,
6/6/2022,23:37:05:649,15.00995064,
6/6/2022,23:37:05:699,15.0621891,
6/6/2022,23:37:05:749,15.09079647,
6/6/2022,23:37:05:799,15.28855705,
6/6/2022,23:37:05:849,15.20646763,
6/6/2022,23:37:05:899,15.32587051,
6/6/2022,23:37:05:949,15.08457756,
6/6/2022,23:37:05:999,15.17039776,
6/6/2022,23:37:06:049,15.09079647,
6/6/2022,23:37:06:099,15.1878109,
6/6/2022,23:37:06:149,15.17288589,
6/6/2022,23:37:06:199,15.08830833,
6/6/2022,23:37:06:249,15.11069679,
6/6/2022,23:37:06:299,14.82711411,
6/6/2022,23:37:06:349,14.8669157,
6/6/2022,23:37:06:399,15.00124359,
6/6/2022,23:37:06:449,15.13059711,
6/6/2022,23:37:06:499,15.16666698,
6/6/2022,23:37:06:549,15.16169167,
6/6/2022,23:37:06:599,15.21019936,
6/6/2022,23:37:06:649,15.05099487,
6/6/2022,23:37:06:699,15.29975128,
6/6/2022,23:37:06:749,15.27114391,
6/6/2022,23:38:06:749,14.95024872,
6/6/2022,23:39:06:749,15.19651699,
6/6/2022,23:40:06:749,15.0708952,
6/6/2022,23:41:06:749,15.46019936,
6/6/2022,23:42:06:749,15.43159199,
6/6/2022,23:43:06:749,14.96641827,
6/6/2022,23:44:06:749,15.32711411,
6/6/2022,23:45:06:749,15.3830843,
6/6/2022,23:46:06:749,15.14303493,
6/6/2022,23:47:06:749,15.1405468,
6/6/2022,23:48:06:749,15.13557243,
