Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W),,,
6/6/2022,21:06:13:863,797.0459595,60.53369522,-0.223889321,,,
6/6/2022,21:06:13:913,797.4041748,58.51633072,-0.134333581,,,
6/6/2022,21:06:13:963,798.4788208,60.55282593,-0.223889321,,,
6/6/2022,21:06:14:013,800.0460815,62.63889313,-0.179111451,,,
6/6/2022,21:06:14:063,801.2550659,68.8068161,0,,,
6/6/2022,21:06:14:113,800.3147583,69.87467194,0.044777863,,,
6/6/2022,21:06:14:163,801.5237427,68.91236877,0.134333581,,,
6/6/2022,21:06:14:213,800.6729736,70.96103668,0.134333581,,,
6/6/2022,21:06:14:263,797.7176514,75.88934326,0.134333581,,,
6/6/2022,21:06:14:313,794.7622681,73.66360474,0.089555725,,,
6/6/2022,21:06:14:363,791.3143921,68.41967773,0.044777863,,,
6/6/2022,21:06:14:413,788.0455933,75.16651917,0,,,
6/6/2022,21:06:14:463,786.4335938,68.92108154,-0.179111451,,,
6/6/2022,21:06:23:468,684.2505493,74.92123413,-0.268667161,,,
6/6/2022,21:06:23:518,673.9963989,79.89702606,-0.268667161,,,
6/6/2022,21:06:23:568,666.9215088,75.30807495,-0.313445032,,,
6/6/2022,21:06:23:619,663.7422485,72.73649597,-0.179111451,,,
6/6/2022,21:06:23:669,662.6676025,71.51448822,-0.268667161,,,
6/6/2022,21:06:23:719,663.0258179,80.66612244,-0.223889321,,,
6/6/2022,21:06:23:769,661.6824951,82.23196411,-0.179111451,,,
6/6/2022,21:06:23:819,662.6676025,83.84663391,-0.134333581,,,
6/6/2022,21:06:23:869,664.4139404,98.19304657,-0.089555725,,,
6/6/2022,21:06:23:919,663.9213867,91.57746124,-0.044777863,,,
6/6/2022,21:06:23:969,665.1303711,89.95979309,0,,,
6/6/2022,21:06:24:019,663.8765869,112.8117981,0.134333581,,,
6/6/2022,21:06:24:069,649.5028687,87.01332092,0.223889321,,,
6/6/2022,21:06:24:119,637.59198,80.91584778,0.179111451,,,
6/6/2022,21:06:24:169,628.9946289,83.90477753,0.179111451,,,
6/6/2022,21:06:24:219,621.4719849,82.8364563,0.313445032,,,
6/6/2022,21:06:24:270,615.5164795,79.38051605,0.089555725,,,
6/6/2022,21:06:24:320,621.5167236,69.46259308,-0.089555725,,,
6/6/2022,21:06:24:370,640.3234253,60.40596771,-0.134333581,,,
6/6/2022,21:06:24:420,669.8320313,65.30184174,-0.089555725,,,
6/6/2022,21:06:24:470,689.6686401,69.91202545,0.134333581,,,
6/6/2022,21:06:24:520,699.609314,77.66587067,0.134333581,,,
6/6/2022,21:06:24:570,703.1915283,79.65519714,-0.089555725,,,
6/6/2022,21:06:24:620,703.7736816,77.54497528,-0.134333581,,,
6/6/2022,21:06:24:670,705.9677734,68.90945435,0,,,
6/6/2022,21:06:24:720,702.9676514,70.83344269,0.179111451,,,
6/6/2022,21:06:24:770,696.6091919,87.59707642,0.134333581,,,
6/6/2022,21:06:24:820,685.6834106,83.38465881,0.134333581,,,
6/6/2022,21:06:24:870,673.1456299,86.72866821,-0.044777863,,,
6/6/2022,21:06:24:920,666.5632935,77.85624695,-0.134333581,,,
6/6/2022,21:06:24:970,667.6827393,56.6505394,-0.358222902,,,
6/6/2022,21:06:25:021,668.3543701,77.05880737,-0.179111451,,,
6/6/2022,21:06:25:072,663.2496948,75.08898926,-0.179111451,,,
6/6/2022,21:06:25:123,660.1600342,78.95214844,-0.313445032,,,
6/6/2022,21:06:25:174,657.831604,82.01131439,-0.313445032,,,
6/6/2022,21:06:25:225,656.6225586,82.57933044,-0.134333581,,,
6/6/2022,21:06:25:276,659.5779419,74.09270477,-0.134333581,,,
6/6/2022,21:06:25:329,668.6230469,76.96414185,-0.044777863,,,
6/6/2022,21:06:25:379,670.4141846,82.559021,-0.089555725,,,
6/6/2022,21:06:25:429,667.3692627,78.38479614,-0.044777863,,,
6/6/2022,21:06:25:480,677.0860596,69.29810333,0,,,
6/6/2022,21:06:25:529,692.8926392,67.62988281,0.089555725,,,
6/6/2022,21:06:25:579,700.0123291,68.58875275,0.044777863,,,
6/6/2022,21:06:25:629,701.0869751,66.51422119,-0.223889321,,,
6/6/2022,21:06:25:680,699.4302368,72.08235931,-0.358222902,,,
6/6/2022,21:06:25:730,690.564209,63.93907166,-0.358222902,,,
6/6/2022,21:06:25:780,681.1160889,80.99865723,-0.313445032,,,
6/6/2022,21:06:25:830,675.1158447,68.88317871,-0.268667161,,,
6/6/2022,21:06:25:880,686.0864258,69.65322876,-0.313445032,,,
6/6/2022,21:06:25:930,692.8926392,77.96910858,-0.179111451,,,
6/6/2022,21:06:25:981,694.5494385,81.07942963,-0.223889321,,,
6/6/2022,21:06:26:031,691.9523315,87.34418488,-0.223889321,,,
6/6/2022,21:06:26:081,684.7878418,86.20658875,-0.223889321,,,
6/6/2022,21:06:26:131,676.3696289,86.44338989,-0.358222902,,,
6/6/2022,21:06:26:181,669.5186157,83.07821655,-0.313445032,,,
6/6/2022,21:06:26:232,665.354248,77.26430511,-0.179111451,,,
6/6/2022,21:06:26:283,663.7422485,75.9509964,-0.044777863,,,
6/6/2022,21:06:26:334,662.4437256,69.74401093,-0.134333581,,,
6/6/2022,21:06:26:385,661.27948,64.46243286,0,,,
6/6/2022,21:06:26:436,661.5033569,59.2805748,0.089555725,,,
6/6/2022,21:06:26:487,664.6378174,74.49017334,-0.089555725,,,
6/6/2022,21:06:51:975,768.074707,53.97843933,0.268667161,,,
6/6/2022,21:06:52:026,788.8068237,47.73782349,0.223889321,,,
6/6/2022,21:06:52:077,801.8371582,67.55311584,0,,,
6/6/2022,21:06:52:127,808.5986328,71.54315948,-0.179111451,,,
6/6/2022,21:06:52:177,811.4644165,66.13211823,-0.268667161,,,
6/6/2022,21:06:52:227,808.8673096,78.62216949,-0.582112193,,,
6/6/2022,21:06:52:277,802.5983887,64.28610992,-0.582112193,,,
6/6/2022,21:06:52:327,798.3445435,53.87598038,-0.492556483,,,
6/6/2022,21:06:52:377,797.0011597,70.92433929,-0.492556483,,,
6/6/2022,21:06:52:427,793.7324219,71.68473816,-0.671667933,,,
6/6/2022,21:06:52:477,789.9710693,68.3727417,-0.626890063,,,
6/6/2022,21:06:52:527,786.3440552,60.05578995,-0.358222902,,,
6/6/2022,21:06:52:577,783.791687,58.80361557,-0.358222902,,,
6/6/2022,21:06:52:627,780.4333496,64.52993774,-0.626890063,,,
6/6/2022,21:06:52:677,778.7766113,65.30641174,-0.582112193,,,
6/6/2022,21:06:52:727,778.0153809,74.0451889,-0.358222902,,,
6/6/2022,21:06:52:777,778.5526733,78.8879776,-0.268667161,,,
6/6/2022,21:06:52:827,778.8213501,75.90552521,-0.089555725,,,
6/6/2022,21:06:52:877,783.2543945,75.02204132,-0.089555725,,,
6/6/2022,21:06:52:927,786.2097168,75.31915283,0.089555725,,,
6/6/2022,21:06:52:977,785.2693481,71.52005768,0.313445032,,,
6/6/2022,21:06:53:027,784.3738403,67.59173584,0.268667161,,,
6/6/2022,21:06:53:077,783.2991333,69.53087616,-0.134333581,,,
6/6/2022,21:06:53:127,781.7767334,69.4553299,-0.179111451,,,
6/6/2022,21:06:53:177,780.9707031,68.34514618,-0.089555725,,,
6/6/2022,21:06:53:227,781.3737183,64.35031891,-0.089555725,,,
6/6/2022,21:06:53:277,782.6275024,71.27873993,0.089555725,,,
6/6/2022,21:06:53:327,783.791687,67.41562653,0.134333581,,,
6/6/2022,21:06:53:377,782.8065796,72.41095734,-0.044777863,,,
6/6/2022,21:06:53:427,782.5827026,69.41236115,-0.223889321,,,
6/6/2022,21:06:53:477,782.6722412,79.32474518,-0.447778642,,,
6/6/2022,21:06:53:527,780.6124878,73.3106842,-0.537334323,,,
6/6/2022,21:06:53:577,779.7617188,69.25325775,-0.492556483,,,
6/6/2022,21:06:53:627,780.4781494,74.14823914,-0.492556483,,,
6/6/2022,21:06:53:677,780.8363647,65.28010559,-0.403000772,,,
6/6/2022,21:06:53:727,780.9707031,72.21008301,-0.447778642,,,
6/6/2022,21:06:53:777,782.0453491,72.23926544,-0.313445032,,,
6/6/2022,21:06:53:827,782.6275024,65.37785339,-0.179111451,,,
6/6/2022,21:06:53:877,783.6126099,61.4623909,-0.313445032,,,
6/6/2022,21:06:53:927,782.9857178,67.42172241,-0.358222902,,,
6/6/2022,21:06:53:977,782.4483643,61.47332764,-0.223889321,,,
6/6/2022,21:06:54:027,782.1796875,69.38574219,-0.179111451,,,
6/6/2022,21:06:54:077,782.4036255,70.35267639,-0.089555725,,,
6/6/2022,21:06:54:127,782.6722412,65.42254639,0.044777863,,,
6/6/2022,21:06:54:177,784.0603638,70.40946198,0,,,
6/6/2022,21:06:54:227,786.4783936,73.49546051,-0.044777863,,,
6/6/2022,21:06:54:277,787.3291626,70.62647247,-0.134333581,,,
6/6/2022,21:07:06:069,681.9220581,72.56524658,0.268667161,,,
6/6/2022,21:07:06:119,678.921936,86.20319366,0.223889321,,,
6/6/2022,21:07:06:169,678.3398438,92.03099823,0,,,
6/6/2022,21:07:06:219,671.5336304,75.2946701,0.089555725,,,
6/6/2022,21:07:06:269,673.3695068,75.86491394,0.223889321,,,
