Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W)
6/1/2022,21:13:47:058,32.28483963,-61.62821198,-0.044777863
6/1/2022,21:13:47:108,32.32961655,-61.64444733,0
6/1/2022,21:13:47:158,32.10572815,-61.51340485,0
6/1/2022,21:13:47:209,32.0161705,-61.27947998,-0.223889321
6/1/2022,21:13:47:259,32.19528198,-61.60456085,-0.313445032
6/1/2022,21:13:47:309,32.37439346,-61.27046585,-0.358222902
6/1/2022,21:13:47:359,32.50872803,-61.13284302,-0.223889321
6/1/2022,21:13:47:409,32.55350494,-61.75918198,-0.268667161
6/1/2022,21:13:47:459,32.50872803,-61.97293472,-0.492556483
6/1/2022,21:13:47:509,32.55350494,-61.4319191,-0.537334323
6/1/2022,21:13:47:559,32.64306259,-61.8609314,-0.447778642
6/1/2022,21:13:47:609,32.82217407,-61.33963394,-0.268667161
6/1/2022,21:13:47:659,32.86695099,-62.12543106,-0.134333581
6/1/2022,21:13:47:709,32.55350494,-61.33998871,-0.179111451
6/1/2022,21:13:47:759,32.37439346,-61.64915085,-0.134333581
6/1/2022,21:13:47:809,32.19528198,-62.33008194,-0.179111451
6/1/2022,21:13:47:860,32.24006271,-61.66638184,-0.044777863
6/1/2022,21:13:47:910,32.19528198,-62.1991272,-0.134333581
6/1/2022,21:13:47:960,32.15050507,-61.00481033,-0.179111451
6/1/2022,21:13:48:010,32.19528198,-61.9805603,-0.089555725
6/1/2022,21:13:48:060,32.41917419,-62.02864456,0
6/1/2022,21:13:48:110,32.59828568,-62.49829102,0
6/1/2022,21:13:48:160,32.59828568,-60.50637436,0.044777863
6/1/2022,21:13:48:210,32.41917419,-62.0489769,-0.179111451
6/1/2022,21:13:48:260,32.19528198,-61.34435654,-0.223889321
6/1/2022,21:13:48:310,32.41917419,-61.80446243,-0.089555725
6/1/2022,21:13:48:360,32.32961655,-60.81498337,-0.134333581
6/1/2022,21:13:48:410,32.06095123,-61.50188065,-0.134333581
6/1/2022,21:13:48:460,31.92661667,-61.34874344,-0.179111451
6/1/2022,21:13:48:510,32.15050507,-61.38589859,-0.134333581
6/1/2022,21:13:48:560,32.37439346,-61.93198776,-0.089555725
6/1/2022,21:13:48:610,32.37439346,-61.34950256,-0.223889321
6/1/2022,21:13:48:660,32.37439346,-61.20345688,-0.358222902
6/1/2022,21:13:48:710,32.24006271,-61.79826736,-0.447778642
6/1/2022,21:13:48:760,32.24006271,-60.78369904,-0.358222902
6/1/2022,21:13:48:810,32.37439346,-60.81925964,-0.358222902
6/1/2022,21:13:48:860,32.59828568,-61.35934067,-0.492556483
6/1/2022,21:13:48:911,32.46395111,-61.38891983,-0.492556483
6/1/2022,21:13:48:961,32.55350494,-61.51990891,-0.268667161
6/1/2022,21:13:49:011,32.37439346,-61.55646515,-0.313445032
6/1/2022,21:13:49:061,32.28483963,-61.74201965,-0.492556483
6/1/2022,21:13:49:111,32.19528198,-61.91358185,-0.447778642
6/1/2022,21:13:49:162,32.28483963,-61.06828308,-0.403000772
6/1/2022,21:13:49:212,32.24006271,-60.49251938,-0.313445032
6/1/2022,21:13:49:262,32.32961655,-61.61810684,-0.179111451
6/1/2022,21:13:49:312,32.28483963,-61.95376587,-0.089555725
6/1/2022,21:14:49:312,32.46395111,-61.99310684,-0.223889321
6/1/2022,21:15:49:312,32.73261642,-63.24007416,0
6/1/2022,21:16:49:314,32.32961655,-62.07249832,-0.179111451
6/1/2022,21:17:49:314,32.10572815,-61.87647247,-0.403000772
6/1/2022,21:18:49:314,32.06095123,-62.48584366,-0.044777863
6/1/2022,21:19:49:314,31.97139359,-61.63814163,0.044777863
6/1/2022,21:20:49:315,32.73261642,-62.7553215,-0.223889321
6/1/2022,21:21:49:315,32.41917419,-62.21761703,-0.134333581
6/1/2022,21:22:49:315,32.46395111,-61.73413086,-0.403000772
6/1/2022,21:23:49:315,32.46395111,-61.60778046,-0.134333581
6/1/2022,21:24:49:316,32.50872803,-61.54648972,0.044777863
6/1/2022,21:25:49:316,32.55350494,-61.78434372,-0.716445804
6/1/2022,21:26:49:316,32.0161705,-62.2247963,-0.268667161
6/1/2022,21:27:49:317,32.59828568,-61.57818985,-0.223889321
6/1/2022,21:28:49:318,32.91172791,-62.39749146,-0.403000772
6/1/2022,21:29:49:318,32.73261642,-62.88699722,-0.268667161
6/1/2022,21:30:49:318,32.37439346,-62.79269791,-0.044777863
