Date,Time (UTC),Active Power L1 (W)
6/1/2022,22:27:21:694,128.6716461
6/1/2022,22:28:21:694,128.9850769
6/1/2022,22:29:21:694,128.776123
6/1/2022,22:30:21:694,126.7512436
6/1/2022,22:31:21:694,126.7661667
6/1/2022,22:32:21:694,126.7263718
6/1/2022,22:33:21:694,126.6927872
6/1/2022,22:34:21:694,126.1243744
6/1/2022,22:35:21:694,125.8519897
6/1/2022,22:36:21:694,125.6343307
6/1/2022,22:37:21:694,124.9415436
6/1/2022,22:38:21:694,125.3196487
6/1/2022,22:38:39:840,24.78980064
6/1/2022,22:38:39:890,16.52860641
6/1/2022,22:38:39:940,15.02860737
6/1/2022,22:38:39:990,14.69900513
6/1/2022,22:38:40:040,14.41915417
6/1/2022,22:38:40:090,14.5472641
6/1/2022,22:38:40:140,14.49004936
6/1/2022,22:38:40:190,14.4303484
6/1/2022,22:38:40:240,13.92661667
6/1/2022,22:38:40:290,14.23756218
6/1/2022,22:39:42:840,14.46890545
6/1/2022,22:40:42:840,14.78109455
6/1/2022,22:41:42:840,14.53233814
6/1/2022,22:42:42:840,14.93532372
6/1/2022,22:43:42:840,14.58208942
6/1/2022,22:44:42:840,14.94776154
6/1/2022,22:45:42:840,14.77985096
6/1/2022,22:46:42:840,14.86815929
6/1/2022,22:47:42:840,14.9291048
6/1/2022,22:48:42:840,14.70522404
6/1/2022,22:49:42:840,14.81343269
6/1/2022,22:50:42:840,14.89303493
6/1/2022,22:51:42:840,14.97014904
6/1/2022,22:52:42:840,14.75995064
6/1/2022,22:53:42:840,14.60198975
6/1/2022,22:54:42:840,14.81467628
6/1/2022,22:55:42:840,14.73134327
6/1/2022,22:56:42:840,14.92661667
6/1/2022,22:57:42:840,14.73880577
6/1/2022,22:58:42:840,14.62810898
6/1/2022,22:59:42:840,14.59328365
6/1/2022,23:00:42:840,14.79477596
6/1/2022,23:01:42:840,14.74378109
6/1/2022,23:02:42:840,14.88557243
6/1/2022,23:03:42:840,14.67288589
6/1/2022,23:04:42:840,14.66915417
6/1/2022,23:05:42:840,14.6803484
6/1/2022,23:06:42:840,14.93283558
6/1/2022,23:07:42:840,14.83333302
6/1/2022,23:08:42:840,15
6/1/2022,23:09:42:840,14.65049744
6/1/2022,23:10:25:438,193.435318
6/1/2022,23:10:25:488,1044.763672
6/1/2022,23:10:25:538,1436.80603
6/1/2022,23:10:25:588,1480.15918
6/1/2022,23:10:25:638,1321.605713
6/1/2022,23:10:25:688,1030.597046
6/1/2022,23:10:25:738,890.390564
6/1/2022,23:10:25:788,863.1629639
6/1/2022,23:10:25:838,859.0721436
6/1/2022,23:10:25:888,861.3892822
6/1/2022,23:10:25:938,861.2574463
6/1/2022,23:10:25:988,862.6641846
6/1/2022,23:10:26:038,860.9116821
6/1/2022,23:10:26:088,858.5559692
6/1/2022,23:10:26:138,852.0571899
6/1/2022,23:10:26:188,841.8967896
6/1/2022,23:10:26:238,828.2525024
6/1/2022,23:10:26:288,808.8383179
6/1/2022,23:10:26:338,782.2375488
6/1/2022,23:10:26:388,740.4116821
6/1/2022,23:10:26:438,672.8656616
6/1/2022,23:10:26:488,550.2574463
6/1/2022,23:10:26:538,388.1965027
6/1/2022,23:10:26:588,275.5833435
6/1/2022,23:10:26:638,223.0397949
6/1/2022,23:10:26:688,197.7263641
6/1/2022,23:10:26:738,185.1094513
6/1/2022,23:10:26:788,175.8768616
6/1/2022,23:10:26:838,170.973877
6/1/2022,23:10:26:888,166.435318
6/1/2022,23:10:26:938,164.0335846
6/1/2022,23:10:26:988,160.777359
6/1/2022,23:10:27:038,158.776123
6/1/2022,23:10:27:088,156.8843231
6/1/2022,23:10:27:138,155.8880615
6/1/2022,23:10:27:188,154.934082
6/1/2022,23:10:27:238,154.3072205
6/1/2022,23:10:27:288,153.5310974
6/1/2022,23:10:27:338,152.8407898
6/1/2022,23:10:27:388,152.5472565
6/1/2022,23:10:27:438,152.1368103
6/1/2022,23:10:27:488,152.2350769
6/1/2022,23:10:27:538,151.6728821
6/1/2022,23:10:27:588,151.8383026
6/1/2022,23:10:27:638,151.1044769
6/1/2022,23:10:27:688,150.2711487
6/1/2022,23:10:27:738,150.353241
6/1/2022,23:10:27:788,150.5783539
6/1/2022,23:10:27:838,150.7537384
6/1/2022,23:10:27:888,150.9477539
6/1/2022,23:10:27:938,150.5995026
6/1/2022,23:10:27:988,150.7985077
6/1/2022,23:10:28:038,150.4937744
6/1/2022,23:10:28:088,150.8134308
6/1/2022,23:10:28:138,150.9328308
6/1/2022,23:10:28:188,150.8519897
6/1/2022,23:10:28:238,150.9490051
6/1/2022,23:10:28:288,151.1542358
6/1/2022,23:10:28:338,151.3221436
